country,Year,Education,Jobs,Population
Afghanistan,1990,0.4,0.519,27.7
Afghanistan,1991,0.3,0.515,20.4
Afghanistan,1992,0.3,0.517,22.2
Afghanistan,1993,0.4,0.518,24.2
Afghanistan,1994,0.4,0.518,26.2
Afghanistan,1995,0.4,0.519,27.7
Afghanistan,1997,0.4,0.517,29.6
Afghanistan,1998,0.5,0.516,30.2
Afghanistan,1999,0.5,0.516,30.9
Afghanistan,2000,0.5,0.516,31.8
Afghanistan,2001,0.5,0.519,33.1
Afghanistan,2002,0.5,0.522,34.6
Afghanistan,2003,0.6,0.526,36.3
Afghanistan,2004,0.6,0.528,37.9
Afghanistan,2005,0.6,0.53,39.3
Afghanistan,2006,0.7,0.527,40.5
Afghanistan,2007,0.7,0.523,41.5
Afghanistan,2008,0.7,0.52,42.5
Afghanistan,2009,0.8,0.518,43.5
Albania,1990,9.3,0.632,114
Albania,1991,8.8,0.654,120
Albania,1992,8.9,0.655,118
Albania,1993,9,0.648,117
Albania,1994,9.1,0.641,115
Albania,1995,9.3,0.632,114
Albania,1997,9.5,0.636,113
Albania,1998,9.6,0.634,114
Albania,1999,9.7,0.63,114
Albania,2000,9.8,0.627,114
Albania,2001,9.9,0.621,114
Albania,2002,10,0.617,114
Albania,2003,10.1,0.604,114
Albania,2004,10.2,0.591,113
Albania,2005,10.3,0.579,113
Albania,2006,10.4,0.569,112
Albania,2007,10.5,0.559,111
Albania,2008,10.6,0.551,110
Albania,2009,10.7,0.545,109
Algeria,1990,4.9,0.45,12.1
Algeria,1991,4.3,0.444,11.1
Algeria,1992,4.5,0.445,11.3
Algeria,1993,4.6,0.448,11.6
Algeria,1994,4.8,0.451,11.8
Algeria,1995,4.9,0.45,12.1
Algeria,1997,5.3,0.446,12.5
Algeria,1998,5.4,0.442,12.7
Algeria,1999,5.6,0.439,12.9
Algeria,2000,5.8,0.436,13
Algeria,2001,5.9,0.433,13.2
Algeria,2002,6.1,0.431,13.4
Algeria,2003,6.2,0.429,13.5
Algeria,2004,6.4,0.427,13.7
Algeria,2005,6.5,0.425,13.9
Algeria,2006,6.7,0.424,14.1
Algeria,2007,6.8,0.423,14.3
Algeria,2008,6.9,0.422,14.6
Algeria,2009,7.1,0.421,14.8
Angola,1990,2.9,0.779,11.2
Angola,1991,2.5,0.783,9.83
Angola,1992,2.6,0.782,10.2
Angola,1993,2.7,0.782,10.5
Angola,1994,2.8,0.78,10.8
Angola,1995,2.9,0.779,11.2
Angola,1997,3.1,0.778,11.9
Angola,1998,3.2,0.778,12.3
Angola,1999,3.4,0.777,12.7
Angola,2000,3.5,0.777,13.2
Angola,2001,3.6,0.777,13.6
Angola,2002,3.7,0.777,14.1
Angola,2003,3.8,0.777,14.5
Angola,2004,3.9,0.777,15
Angola,2005,4,0.776,15.6
Angola,2006,4.1,0.777,16.2
Angola,2007,4.3,0.777,16.8
Angola,2008,4.4,0.777,17.4
Angola,2009,4.5,0.778,18.1
Argentina,1990,10,0.605,12.7
Argentina,1991,9.5,0.597,12.1
Argentina,1992,9.7,0.601,12.3
Argentina,1993,9.8,0.603,12.4
Argentina,1994,9.9,0.606,12.6
Argentina,1995,10,0.605,12.7
Argentina,1997,10.2,0.612,13
Argentina,1998,10.3,0.615,13.2
Argentina,1999,10.5,0.615,13.3
Argentina,2000,10.6,0.617,13.5
Argentina,2001,10.7,0.617,13.6
Argentina,2002,10.8,0.613,13.8
Argentina,2003,10.9,0.618,13.9
Argentina,2004,11,0.624,14.1
Argentina,2005,11.1,0.62,14.2
Argentina,2006,11.2,0.623,14.4
Argentina,2007,11.3,0.616,14.5
Argentina,2008,11.4,0.609,14.6
Argentina,2009,11.4,0.612,14.8
Armenia,1990,10.4,0.582,113
Armenia,1991,10,0.591,123
Armenia,1992,10.1,0.59,121
Armenia,1993,10.2,0.588,118
Armenia,1994,10.3,0.585,115
Armenia,1995,10.4,0.582,113
Armenia,1997,10.6,0.575,110
Armenia,1998,10.7,0.571,109
Armenia,1999,10.7,0.568,109
Armenia,2000,10.8,0.564,108
Armenia,2001,10.9,0.562,107
Armenia,2002,11,0.56,107
Armenia,2003,11,0.559,106
Armenia,2004,11.1,0.558,105
Armenia,2005,11.2,0.559,105
Armenia,2006,11.3,0.56,104
